unit_id,panel_id,WWR,orientation,sda,viewscore
176,3B_WINDOW3,0.33832930292180724,South,34,0.18548487182791282
176,3B_WINDOW8,0.3383293029218083,South,34,0.18548487182791282
176,3B_WINDOW13,0.33832930292180863,South,34,0.18548487182791282
183,2B_WINDOW5,0.33832927089432746,South,0,0.033134269946865386
183,2B_WINDOW10,0.3383293029218082,South,0,0.033134269946865386
189,2B_WINDOW10,0.33832930292180646,South,13,0.14585120726695988
199,3B_WINDOW3,0.3383293029218073,South,48,0.9291621777955625
199,3B_WINDOW8,0.33832930292180846,South,48,0.9291621777955625
199,3B_WINDOW13,0.33832930292180746,South,48,0.9291621777955625
198,3B_WINDOW3,0.3383293029218077,South,45,0.6399359855856913
198,3B_WINDOW8,0.338329302921808,South,45,0.6399359855856913
198,3B_WINDOW13,0.3383293029218078,South,45,0.6399359855856913
172,3B_WINDOW3,0.33832930292180746,South,0,0.17423072878173207
172,3B_WINDOW13,0.33832930292180785,South,0,0.17423072878173207
1103,1B_WINDOW5,0.3383293029218096,South,31,0.15761004462964368
182,3B_WINDOW9,0.33832930292180563,South,8,0.18570177273200603
174,3B_WINDOW3,0.33832930292180735,South,22,0.25147755606557953
174,3B_WINDOW8,0.33832930292180824,South,22,0.25147755606557953
174,3B_WINDOW13,0.33832930292180824,South,22,0.25147755606557953
1101,3B_WINDOW3,0.33832930292180685,South,49,0.9291621783576993
1101,3B_WINDOW8,0.33832930292180763,South,49,0.9291621783576993
1101,3B_WINDOW13,0.33832930292180746,South,49,0.9291621783576993
1106,1B_WINDOW6,0.33825386938781327,South,30,0.3623972769227035
175,3B_WINDOW3,0.3383293029218074,South,21,0.12987737627694174
175,3B_WINDOW8,0.33832930292180985,South,21,0.12987737627694174
175,3B_WINDOW13,0.3383293029218066,South,21,0.12987737627694174
1105,1B_WINDOW6,0.33825386938781166,South,28,0.36260272731680393
1104,1B_WINDOW5,0.33832930292180974,South,15,0.0
192,3B_WINDOW9,0.33832930292180585,South,10,0.15983430500515947
186,3B_WINDOW14,0.33832930292180746,South,0,0.028620311173538297
184,3B_WINDOW9,0.33832930292180863,South,0,0.027335212164640858
197,2B_WINDOW4,0.3383293029218094,South,38,0.7430814362153764
197,2B_WINDOW9,0.3383293029218085,South,38,0.7430814362153764
1100,3B_WINDOW4,0.3383293029218069,South,28,0.5772779857742171
1100,3B_WINDOW9,0.33832930292180574,South,28,0.5772779857742171
181,3B_WINDOW15,0.3383293029218063,South,0,0.036200962520896884
1107,1B_WINDOW6,0.33825386938781354,South,30,0.36236630354776755
196,2B_WINDOW4,0.3383293029218088,South,38,0.7218965298080335
196,2B_WINDOW9,0.33832930292180885,South,38,0.7218965298080335
185,1B_WINDOW6,0.3382538693878134,South,32,0.10441307567568206
260,3B_WINDOW3,0.33832930292180563,South,12,0.3720367264467826
260,3B_WINDOW13,0.33832930292180596,South,12,0.3720367264467826
265,2B_WINDOW5,0.338329270894328,South,37,0.5892083199768157
265,2B_WINDOW10,0.33832930292180635,South,37,0.5892083199768157
279,1B_WINDOW7,0.3383293029218077,South,100,0.1576486920192873
251,3B_WINDOW3,0.3383293029218076,South,32,0.23878553913384287
251,3B_WINDOW8,0.33832930292180885,South,32,0.23878553913384287
251,3B_WINDOW13,0.3383293029218076,South,32,0.23878553913384287
264,2B_WINDOW10,0.33832930292180646,South,11,0.14585218317334697
250,3B_WINDOW3,0.3383293029218082,South,17,0.28548903246076307
250,3B_WINDOW8,0.3383293029218084,South,17,0.28548903246076307
250,3B_WINDOW13,0.3383293029218074,South,17,0.28548903246076307
267,2B_WINDOW4,0.338329302921808,South,35,0.387648599685039
267,2B_WINDOW9,0.33832930292180835,South,35,0.387648599685039
269,2B_WINDOW4,0.3383293029218079,South,35,0.3876485996994518
269,2B_WINDOW9,0.3383293029218076,South,35,0.3876485996994518
256,3B_WINDOW3,0.338329302921809,South,23,0.17125770919131075
256,3B_WINDOW8,0.3383293029218075,South,23,0.17125770919131075
256,3B_WINDOW13,0.3383293029218066,South,23,0.17125770919131075
271,2B_WINDOW4,0.3383293029218076,South,36,0.3876485997139278
271,2B_WINDOW9,0.3383293029218075,South,36,0.3876485997139278
255,2B_WINDOW4,0.33832930292180907,South,0,0.616237457654127
255,2B_WINDOW9,0.33832930292180663,South,0,0.616237457654127
266,2B_WINDOW4,0.3383293029218078,South,37,0.7430814362153763
266,2B_WINDOW9,0.3383293029218082,South,37,0.7430814362153763
253,3B_WINDOW3,0.3383293029218069,South,37,0.35940899011764704
253,3B_WINDOW8,0.33832930292180874,South,37,0.35940899011764704
253,3B_WINDOW13,0.3383293029218077,South,37,0.35940899011764704
270,2B_WINDOW4,0.33832930292180896,South,47,0.7312881861624125
270,2B_WINDOW9,0.3383293029218061,South,47,0.7312881861624125
278,1B_WINDOW5,0.33832930292180957,South,23,0.02513165118934785
258,3B_WINDOW9,0.3383293029218077,South,8,0.027508209883225578
254,3B_WINDOW9,0.3383293029218087,South,2,0.17594084807524274
268,3B_WINDOW4,0.3383293029218079,South,32,0.6030006985095892
268,3B_WINDOW9,0.3383293029218082,South,32,0.6030006985095892
336,3B_WINDOW3,0.33832930292180885,South,6,0.25664949252761143
336,3B_WINDOW13,0.33832930292180785,South,6,0.25664949252761143
347,2B_WINDOW5,0.33832927089432924,South,39,0.5893244604437072
347,2B_WINDOW10,0.33832930292180785,South,39,0.5893244604437072
343,2B_WINDOW5,0.3383292708943282,South,58,0.5892083199919592
343,2B_WINDOW10,0.3383293029218085,South,58,0.5892083199919592
344,2B_WINDOW4,0.33832930292180746,South,36,0.3877874392640873
344,2B_WINDOW9,0.3383293029218074,South,36,0.3877874392640873
340,3B_WINDOW3,0.3383293029218092,South,46,0.81891193373256
340,3B_WINDOW8,0.3383293029218082,South,46,0.81891193373256
340,3B_WINDOW13,0.33832930292180735,South,46,0.81891193373256
339,2B_WINDOW10,0.33832930292180835,South,10,0.01328080154133702
355,1B_WINDOW6,0.33825386938781393,South,30,0.36228454084836903
353,1B_WINDOW6,0.3382538693878095,South,30,0.36260272728748455
337,3B_WINDOW3,0.3383293029218078,South,12,0.3389977579771235
337,3B_WINDOW8,0.338329302921808,South,12,0.3389977579771235
337,3B_WINDOW13,0.338329302921807,South,12,0.3389977579771235
345,3B_WINDOW3,0.33832930292180724,South,96,0.40043467026897667
345,3B_WINDOW8,0.3383293029218095,South,96,0.40043467026897667
345,3B_WINDOW13,0.3383293029218084,South,96,0.40043467026897667
358,1B_WINDOW7,0.3383293029218054,South,52,0.15767201671327039
354,1B_WINDOW6,0.33825386938781477,South,100,0.3622845408479352
342,2B_WINDOW4,0.3383293029218082,South,37,0.6960941897739538
342,2B_WINDOW9,0.3383293029218083,South,37,0.6960941897739538
