unit_id,panel_id,WWR,orientation,sda,viewscore
176,3B_WINDOW3,0.22549520230692083,South,22,0.1942466327051037
176,3B_WINDOW8,0.22549520230692136,South,22,0.1942466327051037
176,3B_WINDOW13,0.2254952023069211,South,22,0.1942466327051037
183,2B_WINDOW5,0.22549518276014777,South,0,0.03625130913590058
183,2B_WINDOW10,0.22549520230692094,South,0,0.03625130913590058
189,2B_WINDOW10,0.22549520230692002,South,7,0.1627938046367004
199,3B_WINDOW3,0.2254952023069206,South,23,0.9017771499117055
199,3B_WINDOW8,0.22549520230692074,South,23,0.9017771499117055
199,3B_WINDOW13,0.22549520230692044,South,23,0.9017771499117055
198,3B_WINDOW3,0.22549520230692088,South,23,0.649736984775055
198,3B_WINDOW8,0.2254952023069208,South,23,0.649736984775055
198,3B_WINDOW13,0.22549520230692077,South,23,0.649736984775055
172,3B_WINDOW3,0.22549520230692124,South,0,0.2208775882273276
172,3B_WINDOW13,0.2254952023069204,South,0,0.2208775882273276
1103,1B_WINDOW5,0.22549520230692358,South,17,0.1440217727677534
182,3B_WINDOW9,0.22549520230691975,South,4,0.18182269461438802
174,3B_WINDOW3,0.2254952023069208,South,14,0.2753122638742401
174,3B_WINDOW8,0.22549520230692105,South,14,0.2753122638742401
174,3B_WINDOW13,0.22549520230692058,South,14,0.2753122638742401
1101,3B_WINDOW3,0.22549520230692044,South,22,0.9017771508656682
1101,3B_WINDOW8,0.225495202306921,South,22,0.9017771508656682
1101,3B_WINDOW13,0.22549520230692033,South,22,0.9017771508656682
1106,1B_WINDOW6,0.22544916404304313,South,18,0.35146119849687846
175,3B_WINDOW3,0.22549520230692283,South,12,0.15443486738423365
175,3B_WINDOW8,0.22549520230692172,South,12,0.15443486738423365
175,3B_WINDOW13,0.22549520230692202,South,12,0.15443486738423365
1105,1B_WINDOW6,0.22544916404304052,South,17,0.35160372048523536
1104,1B_WINDOW5,0.2254952023069211,South,9,0.0
192,3B_WINDOW9,0.2254952023069201,South,6,0.1816473179770622
186,3B_WINDOW14,0.2254952023069207,South,0,0.03866410716076871
184,3B_WINDOW9,0.2254952023069212,South,0,0.037831765289708365
197,2B_WINDOW4,0.22549520230692205,South,20,0.6554685347220714
197,2B_WINDOW9,0.22549520230692127,South,20,0.6554685347220714
1100,3B_WINDOW4,0.22549520230692083,South,15,0.5704644843252831
1100,3B_WINDOW9,0.22549520230692002,South,15,0.5704644843252831
181,3B_WINDOW15,0.225495202306922,South,0,0.04628955213970246
1107,1B_WINDOW6,0.22544916404304538,South,18,0.3514301846416339
196,2B_WINDOW4,0.22549520230692083,South,20,0.6947698211423067
196,2B_WINDOW9,0.2254952023069204,South,20,0.6947698211423067
185,1B_WINDOW6,0.2254491640430457,South,22,0.10722617046352308
260,3B_WINDOW3,0.22549520230691972,South,6,0.3599124690236996
260,3B_WINDOW13,0.22549520230692147,South,6,0.3599124690236996
265,2B_WINDOW5,0.22549518276014716,South,20,0.5516988439338015
265,2B_WINDOW10,0.22549520230692002,South,20,0.5516988439338015
279,1B_WINDOW7,0.22549520230692022,South,100,0.14394213203570216
251,3B_WINDOW3,0.22549520230692036,South,17,0.2166715372336431
251,3B_WINDOW8,0.2254952023069216,South,17,0.2166715372336431
251,3B_WINDOW13,0.22549520230692097,South,17,0.2166715372336431
264,2B_WINDOW10,0.2254952023069196,South,7,0.1280699221888158
250,3B_WINDOW3,0.22549520230692086,South,9,0.30646390319816347
250,3B_WINDOW8,0.22549520230692152,South,9,0.30646390319816347
